item_no,price,rating,title
233416,261.73,0.0,NEMO Disco 15 Sleeping Bag - Women's
229018,44.73,2.8,Klymit Static V Sleeping Pad
205569,100.73,0.0,Mountain Equipment Starlight II Sleeping Bag - Men's Long
184983,238.73,3.5,ALPS Mountaineering Camp Creek 6 Two-Room Tent
141510,37.73,3.0,Mountain Summit Gear 4-Person Enamel Tableware Set
213432,88.73,3.6,ALPS Mountaineering Trail Tent
213451,9.73,5.0,ALPS Mountaineering Camp Pillow
224007,149.73,0.0,Marmot Lozen 30 Sleeping Bag - Women's Long
232438,224.73,5.0,Big Agnes Dog House 4 Tent
205581,72.73,0.0,Mountain Equipment Lunar I Sleeping Bag - Men's Long
151568,59.73,3.7,ALPS Mountaineering Lightweight Cot
171847,62.73,3.7,Mountain Summit Gear Self-Inflating 2.5 Camp Pad - Large
213481,118.73,0.0,ALPS Mountaineering Utility Table
229012,139.73,0.0,Klymit Insulated Hammock V Sleeping Pad
229024,79.73,0.0,Klymit Wild Aspen 20 Sleeping Bag
230938,489.73,3.0,Mountain Hardwear Outpost 2 Tent
200490,36.73,4.0,OllyDog Rover Dog Pack
144832,108.73,3.8,Mountainsmith Upland 4P Tent
233758,49.73,0.0,Tifosi Aethon Sunglasses
233330,26.73,0.0,Osprey Hydraulics Reservoir - 3 Liters
232440,299.73,0.0,Big Agnes Sand Wash Car Tarp
189513,50.73,4.2,Kinco Lined Heavy-Duty Premium Grain and Suede Pigskin Mittens with Knit Wrists
189281,93.73,3.9,Alpine Mountain Gear Weekender Tent 4
213479,51.73,5.0,ALPS Mountaineering Eclipse Table
229041,54.73,0.0,Osprey Hydrajet 12 Hydration Pack - Kids'
229815,279.73,4.8,Marmot WarmCube Quilt
229035,89.73,3.0,Osprey Skimmer 20 Hydration Pack - Women's
189488,17.19,4.7,SOL Flat Pack Collapsible Sink - 16 Liters
185561,160.29,4.2,REI Co-op Traverse 60 Pack - Women's
149217,62.99,4.5,Stanley Adventure Base Camp Cookset 4
227281,82.49,0.0,Sealskinz Twyford Waterproof Cold-Weather Work Gloves with Fusion Control
213704,149.89,4.0,Mountainsmith Bear Creek 4 Tent with Footprint
168773,48.89,4.4,REI Co-op Outward Side Table
830341,119.89,4.6,MSR WhisperLite International Backpacking Stove
224823,149.89,4.1,Ignik Topside Heated Blanket
188370,153.29,4.4,Sea to Summit Ether Light XT Extreme Sleeping Pad
201306,179.99,4.0,Osprey Eja 48 Pack - Women's
109955,22.39,3.9,Petzl Core Battery
185260,55.89,4.1,REI Co-op Helio Sack 50 Sleeping Bag
188424,6.89,4.8,REI Co-op Nalgene Sustain Graphic Wide-Mouth Water Bottle - 16 fl. oz.
185568,97.29,4.4,REI Co-op Traverse 32 Pack - Women's
191478,286.29,4.5,Sea to Summit Flame Ultralight 35F Sleeping Bag - Women's
151399,44.89,4.3,Sea to Summit Aeros Down Pillow
204535,34.89,4.4,REI Co-op Pack-Away 24 Soft Cooler
149914,111.89,4.5,Eureka Ignite Plus 2-Burner Camp Stove
217410,118.29,4.2,REI Co-op Trailmade 60 Pack - Women's
186013,62.89,4.4,REI Co-op Outward Classic Lawn Chair
220920,142.73,0.0,Gregory Amber 55 Pack - Women's
189270,76.73,3.5,Alpine Mountain Gear Weekender Tent 3
233484,29.73,0.0,Pepper's Freebird Polarized Sunglasses - Women's
227895,82.73,0.0,Gregory Miwok 18 Pack - Men's Plus Size
230609,13.73,4.0,Sea to Summit X-Brew Coffee Dripper
193030,95.73,4.0,ALPS Mountaineering Tour Pack
231022,12.73,0.0,UCO 4-Piece Mess Kit
205568,96.73,0.0,Mountain Equipment Starlight II Sleeping Bag - Men's
232274,18.73,0.0,Princeton Tec Refuel Headlamp
